Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"10K ohm Resistor","Gate pull-down resistor for the NMOS",5,0.03,"https://www.electronicscomp.com/10k-ohm-resistance?search=10k%20Ohm%20resistor","ElectronicsComp"
"100K ohm Resistor","Battery monitor and PMOS gate pull-up resistor.",5,0.03,"https://www.electronicscomp.com/100k-ohm-resistance?search=100k%20Ohm%20resistor","ElectronicsComp"
"1K ohm Resistor","Protection for the ESP32 from Overcurrent",5,0.03,"https://www.electronicscomp.com/1k-ohm-resistance?search=1k%20Ohm%20resistor","ElectronicsComp"
"2N7000 N-Channel MOSFET","Electronic lock for the Soft-Latch",2,0.20,"https://www.electronicscomp.com/2n7000-n-channel-enhancement-mode-fet-to-92-package?search=2N7000","ElectronicsComp"
"FDN304P P-Channel MOSFET","Main power switch for soft-latch",2,0.30,"https://www.electronicscomp.com/fdn304p-mosfet-smd-sot-23-package-20v-2.4a-p-channel-mosfet?search=FDN304P","ElectronicsComp"
"Fuse Holder","Housing for the glass fuse",1,0.10,"https://www.electronicscomp.com/fuse-holder-pcb-mount-20mm?search=fuse%20holder","ElectronicsComp"
"3 Amp 250V Glass Fuse","Short-circuit protection",6,0.25,"https://www.electronicscomp.com/3-amp-250v-glass-fuse-20mm?search=fuse&sort=p.price&order=ASC","ElectronicsComp"
"Prototyping Board","mounting and routing platform for core electronics",2,1.00,"https://www.electronicscomp.com/6x8-cm-double-sided-universal-pcb-india?search=board&sort=p.price&order=ASC&page=2","ElectronicsComp"
"28AWG Silicone Wire 10 m (Blue)","Logic Routing (I2C for AHT20/BMP280, ADC telemetry)",1,0.60,"https://www.electronicscomp.com/tools-connectors/wires-cables/silicone-wires/24-to-30-awg/high-quality-ultra-flexible-28awg-silicone-wire-10-m-blue","ElectronicsComp"
"20AWG Silicone Wire 1m (Black) + 1m (Red)","Power Distribution (Solar, TP5000, Battery, ESP32 VIN/GND)",1,1.10,"https://www.electronicscomp.com/tools-connectors/wires-cables/silicone-wires/18-to-22-awg/high-quality-ultra-flexible-20awg-silicone-wire-1m-black-1m-red","ElectronicsComp"
"MT76813DBI WiFi Antenaa","Antenna for the ESP",1,0.60,"https://www.electronicscomp.com/mt76813dbi-esp8266-serial-wifi-wireless-gain-antenna?search=wifi%20antenna","ElectronicsComp"
"100nf(0.1uf) Ceramic Capacitor","To decouple High-frequency RF noise",5,0.05,"https://www.electronicscomp.com/0.1uf-104-ceramic-capacitor?search=capacitor%200.1uf","ElectronicsComp"
"1000uF 10V Electrolytic Capacitor","To stabilize voltage in wifi current spike",2,0.25,"https://www.electronicscomp.com/1000uf-10v-electrolytic-capacitor?search=capacitor%201000uf","ElectronicsComp"
"ESP32-DevKitC ESP32-WROOM-32UE Development board","The main MCU",1,7.40,"https://www.electronicscomp.com/espressif-esp32-devkitc-esp32-wroom-32ue-development-board","ElectronicsComp"
"Huaxing 32700 6000mAh Solar Grade LiFePO4 battry","High-capacity 3.2V power storage",1,2.50,"https://www.electronicscomp.com/hx-ifr32700-32v-6000mah-1c-lifepo4-battery-solar-grade?search=LiFePO4&page=2","ElectronicsComp"
"TP5000 Charge Module","LiFePO4 Buck Charger",1,1.00,"https://www.electronicscomp.com/tp5000-3.6v-4.2v-1a-lithiumbattery-charger-module?search=TP5000%20","ElectronicsComp"
"1N5819 Schottky Diode","Reverse-Current Protection",5,0.30,"https://www.electronicscomp.com/1n5419-schottky-barrier-diode?search=1N5819","ElectronicsComp"
"2W 5V Solar Panel","5V Power Generation",2,4.00,"https://www.electronicscomp.com/robotics-parts-accesories/solar-panel-cell/solar-panel-5v-2w","ElectronicsComp"
"BMP280 Module","I2C Barometric Pressure Sensor",1,0.90,"https://www.electronicscomp.com/bmp280-barometric-pressure-altitude-sensor-module-india?search=BMP280","ElectronicsComp"
"HTU21D Module","Temperature & Humidity Sensor",1,1.60,"https://www.electronicscomp.com/htu21d-temperature-and-humidity-sensor-module?search=HTu21","ElectronicsComp"
